iShares MSCI ACWI ETF
Fund Holdings as of,"Sep 21, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"206,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","108,116,729.60","0.32","108,116,729.60","740,120.00","146.08","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","107,815,791.60","0.32","107,815,791.60","1,237,555.00","87.12","United States","NYSE","USD","1.00","USD","-"
"700","TENCENT HOLDINGS","Communication","Equity","107,463,691.00","0.32","107,463,691.00","1,960,800.00","54.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"GE","GE AEROSPACE","Industrials","Equity","105,495,011.95","0.32","105,495,011.95","330,695.00","319.01","United States","NYSE","USD","1.00","USD","-"
"ROP","ROCHE PS PAR AG","Health Care","Equity","99,120,812.77","0.30","99,120,812.77","223,049.00","444.39","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"NFLX","NETFLIX","Communication","Equity","97,329,573.04","0.29","97,329,573.04","1,326,739.00","73.36","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","96,650,164.80","0.29","96,650,164.80","259,980.00","371.76","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","94,062,611.20","0.28","94,062,611.20","316,496.00","297.20","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL","Consumer Staples","Equity","93,076,508.28","0.28","93,076,508.28","496,461.00","187.48","United States","NYSE","USD","1.00","USD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","91,453,036.90","0.27","91,453,036.90","442,504.00","206.67","Canada","Toronto Stock Exchange","USD","1.40","CAD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","90,656,598.66","0.27","90,656,598.66","94,494.00","959.39","United States","NYSE","USD","1.00","USD","-"
"SHEL","SHELL PLC","Energy","Equity","84,856,382.63","0.25","84,856,382.63","1,818,866.00","46.65","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"SNDK","SANDISK","Information Technology","Equity","83,473,740.00","0.25","83,473,740.00","47,250.00","1,766.64","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","83,329,299.54","0.25","83,329,299.54","428,781.00","194.34","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","83,267,316.82","0.25","83,267,316.82","962,183.00","86.54","United States","NYSE","USD","1.00","USD","-"
"NOVN","NOVARTIS AG","Health Care","Equity","83,012,723.84","0.25","83,012,723.84","586,750.00","141.48","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"ORCL","ORACLE","Information Technology","Equity","82,000,514.64","0.25","82,000,514.64","551,969.00","148.56","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","81,259,481.16","0.24","81,259,481.16","85,878.00","946.22","United States","NYSE","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","80,858,292.94","0.24","80,858,292.94","481,382.00","167.97","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","79,016,521.50","0.24","79,016,521.50","316,890.00","249.35","United States","NASDAQ","USD","1.00","USD","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP","Financials","Equity","78,358,431.50","0.23","78,358,431.50","3,408,700.00","22.99","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","78,333,437.04","0.23","78,333,437.04","289,192.00","270.87","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","78,081,505.28","0.23","78,081,505.28","118,528.00","658.76","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","77,671,787.36","0.23","77,671,787.36","376,828.00","206.12","United States","NYSE","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","77,050,785.24","0.23","77,050,785.24","820,376.00","93.92","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"KLAC","KLA","Information Technology","Equity","76,789,261.97","0.23","76,789,261.97","417,401.00","183.97","United States","NASDAQ","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING","Consumer Discretionary","Equity","76,671,302.36","0.23","76,671,302.36","5,342,376.00","14.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.85","HKD","-"
"C","CITIGROUP","Financials","Equity","73,543,908.40","0.22","73,543,908.40","544,568.00","135.05","United States","NYSE","USD","1.00","USD","-"
"2454","MEDIATEK","Information Technology","Equity","72,729,877.82","0.22","72,729,877.82","461,000.00","157.77","Taiwan","Taiwan Stock Exchange","USD","31.76","TWD","Jul 23, 2001"
"SIE","SIEMENS N AG","Industrials","Equity","72,678,926.92","0.22","72,678,926.92","231,619.00","313.79","Germany","Xetra","USD","0.87","EUR","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","70,321,620.98","0.21","70,321,620.98","273,221.00","257.38","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","69,987,415.68","0.21","69,987,415.68","340,704.00","205.42","United States","NYSE","USD","1.00","USD","-"
"BHP","BHP GROUP LTD","Materials","Equity","69,552,862.05","0.21","69,552,862.05","1,605,863.00","43.31","Australia","Asx - All Markets","USD","1.40","AUD","-"
